threshold,true_positive,false_positive,false_negative,true_negative,precision,recall,f1,iou,accuracy
0.05,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.06,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.07,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.08,53761,1584639,0,0,0.0328131103515625,1.0,0.06354123514251894,0.0328131103515625,0.0328131103515625
0.09,53761,1584635,0,4,0.032813190461890775,1.0,0.0635413853442677,0.032813190461890775,0.0328155517578125
0.1,53761,1584594,0,45,0.03281401161530926,1.0,0.0635429249531356,0.03281401161530926,0.032840576171875
0.11,53688,1578021,73,6618,0.032902925705502635,0.9986421383530812,0.06370685921434377,0.03290145374811096,0.036807861328125
0.12,51909,1481114,1852,103525,0.033860548732797875,0.9655512360261156,0.06542667432996552,0.033819692157341805,0.094869384765625
0.13,49530,1091645,4231,492994,0.043402633250816045,0.9212998270121463,0.08289983731346282,0.04324230884070801,0.33113037109375
0.14,45872,383909,7889,1200730,0.10673342935122772,0.8532579379103812,0.18973325998568893,0.10480955971393972,0.760865478515625
0.15,42290,247302,11471,1337337,0.14603303958672892,0.7866297129889697,0.24633540408850366,0.1404689383949539,0.8420574951171875
0.16,40395,207707,13366,1376932,0.16281609982990866,0.7513811127025167,0.2676379682173701,0.15449309284501353,0.8650677490234375
0.17,38862,184665,14899,1399974,0.17385819162785704,0.7228660181172225,0.28030062606387585,0.1629939687785728,0.87819580078125
0.18,37677,167444,16084,1417195,0.1836818268241672,0.7008240174103905,0.29107469812501446,0.17032616803417644,0.8879833984375
0.19,36680,153693,17081,1430946,0.19267438134609424,0.6822789754654861,0.30049071411601824,0.17681028083334135,0.895767822265625
0.2,35810,142431,17951,1442208,0.20090775971858327,0.6660962407693309,0.3087042353083163,0.182525281357038,0.902110595703125
0.21,35075,132558,18686,1452081,0.20923684477400034,0.6524246200777515,0.31685592202137364,0.1882524058201257,0.90768798828125
0.22,34391,123120,19370,1461519,0.21834030639129964,0.6397016424545674,0.3255613616570109,0.19443015360609675,0.913031005859375
0.23,33816,112857,19945,1471782,0.23055368063651796,0.6290061568795223,0.3374277817136813,0.20295526293677754,0.918944091796875
0.24,33315,104928,20446,1479711,0.24098869382174867,0.6196871337958744,0.34702402033290974,0.20993893716640724,0.923477783203125
